ClaimID,AccidentDate,ReportDate,TransactionDate,TransactionAmount
CLM-10034,2023-04-03,2023-06-25,2023-11-25,-5333.79
CLM-10197,2024-05-10,2024-07-05,2025-02-12,-19294.27
CLM-10267,2020-04-20,2020-04-21,2021-03-18,-13554.0
CLM-10747,2023-06-05,,2024-05-16,30998.54
CLM-10385,2023-09-23,2023-11-26,2024-04-17,67480.73
CLM-10617,2020-07-28,2020-08-07,2020-12-18,2839.02
CLM-10374,2022-01-12,2022-02-11,2022-09-20,79606.47
CLM-10547,2020-11-28,2021-02-13,2021-03-01,77903.55
CLM-10383,2023-06-20,2023-07-10,2023-09-08,59193.11
CLM-10174,2021-12-04,2022-01-29,2022-03-17,54243.78
CLM-10426,2023-10-14,2023-11-25,2023-09-11,13015.09
CLM-10597,2021-08-12,2021-09-02,2021-07-04,40819.55
CLM-10410,2023-09-28,2023-12-10,2025-01-28,-8211.69
CLM-10427,2021-02-16,2021-04-15,2021-12-14,17926.4
CLM-10147,2022-06-21,2022-07-10,2022-08-04,15295.74
CLM-10795,2020-01-24,2020-03-06,2021-10-30,22792.93
CLM-10279,2023-10-19,2023-12-06,2024-10-21,20384.14
CLM-10732,2024-04-29,2024-05-02,2024-07-29,4432.73
CLM-10678,2022-12-22,2023-03-11,2023-04-11,-22282.32
CLM-10191,2024-10-23,,2025-01-18,51033.06
CLM-10179,2022-05-13,2022-07-28,2023-08-28,55924.47
CLM-10595,2023-12-26,2024-01-15,2024-06-05,2861.36
CLM-10220,2022-09-04,2022-09-22,2023-02-07,31572.29
CLM-10427,2021-02-16,2021-04-15,2021-09-01,81344.31
CLM-10224,2020-11-06,2021-01-11,2022-04-10,77608.18
CLM-10704,2022-10-31,2022-12-12,2023-11-03,-17891.65
CLM-10175,2021-11-06,2021-11-19,2022-02-06,24165.72
CLM-10664,2022-09-26,2022-10-13,2023-03-16,-16735.52
CLM-10295,2020-09-24,2020-10-28,2021-07-10,47688.86
CLM-10172,2022-02-17,2022-04-25,2023-04-05,20407.13
CLM-10481,2021-01-06,2021-02-20,2021-08-18,48433.15
CLM-10712,2021-04-08,2021-04-18,2021-09-28,83898.78
CLM-10046,2020-05-07,2020-07-18,2021-02-05,33417.74
CLM-10721,2022-05-11,,2022-11-10,26165.02
CLM-10527,2020-04-29,2020-06-28,2021-01-01,22658.61
CLM-10637,2024-09-24,2024-11-28,2025-02-15,-6032.06
CLM-10042,2020-07-23,2020-09-27,2021-04-22,56937.62
CLM-10671,2022-12-18,2023-01-16,2023-05-06,41807.11
CLM-10231,2021-01-02,2021-02-19,2021-10-15,21689.12
CLM-10384,2022-07-02,2022-08-08,2023-01-12,26300.32
CLM-10712,2021-04-08,2021-04-18,2022-01-08,78333.88
CLM-10396,2024-11-11,2024-11-28,2025-02-10,50044.58
CLM-10128,2022-01-16,2022-01-26,2023-02-23,77630.22
CLM-10139,2024-01-29,2024-02-27,2024-08-02,55913.92
CLM-10651,2023-02-21,2023-04-08,2024-05-22,-8090.47
CLM-10646,2021-06-05,2021-08-10,2021-09-15,56446.96
CLM-10735,2024-09-02,2024-10-21,2025-04-11,74731.63
CLM-10110,2024-02-24,2024-04-23,2024-08-25,36231.44
CLM-10771,2022-08-19,2022-09-08,2023-08-25,20694.82
CLM-10434,2022-06-13,2022-08-11,2023-02-28,3871.49
CLM-10143,2023-08-12,2023-09-15,2024-03-20,35291.14
CLM-10736,2021-11-10,2022-01-29,2023-05-28,16203.68
CLM-10695,2023-05-05,2023-08-01,2023-09-02,23551.65
CLM-10688,2020-01-02,2020-02-21,2020-12-27,9416.95
CLM-10176,2023-10-06,2023-11-14,2024-07-22,22251.21
CLM-10228,2020-02-22,2020-03-12,2020-09-28,13681.65
CLM-10276,2022-06-03,2022-08-28,2022-11-18,5456.28
CLM-10442,2024-07-27,2024-09-16,2025-03-16,8617.01
CLM-10772,2022-08-10,2022-11-07,2023-02-19,80284.83
CLM-10171,2021-09-13,2021-11-10,2022-08-16,78082.36
CLM-10572,2022-01-05,2022-02-10,2022-08-20,66298.42
CLM-10543,2024-10-06,2024-12-26,2025-03-16,53397.23
CLM-10258,2022-09-21,2022-12-07,2023-01-26,52854.54
CLM-10707,2020-02-20,2020-04-20,2020-11-04,-18997.85
CLM-10620,2024-02-20,2024-05-19,2024-12-08,47557.62
CLM-10046,2020-05-07,2020-07-18,2021-08-25,64228.56
CLM-10710,2021-03-15,2021-05-31,2022-03-01,77456.34
CLM-10524,2021-07-10,2021-08-06,2023-01-13,78607.28
CLM-10744,2020-01-22,2020-03-10,2020-09-24,46447.76
CLM-10683,2021-08-10,2021-09-20,2022-04-15,2865.1
CLM-10621,2020-01-13,2020-03-06,2020-07-19,34514.21
CLM-10435,2024-07-25,2024-08-21,2024-10-29,8978.64
CLM-10530,2022-10-23,2022-12-13,2023-07-16,42860.21
CLM-10127,2023-07-03,2023-07-11,2024-08-16,18611.99
CLM-10279,2023-10-19,2023-12-06,2024-04-24,79226.41
CLM-10292,2020-04-20,2020-05-25,2022-07-22,29728.32
CLM-10215,2022-05-18,2022-06-05,2022-09-04,11413.08
CLM-10020,2024-05-09,2024-07-13,2024-12-22,51434.41
CLM-10111,2020-11-05,2020-11-09,2021-08-20,18620.96
CLM-10746,2024-05-04,2024-05-28,2024-10-13,41660.98
CLM-10743,2023-05-19,2023-08-15,2024-10-08,4063.87
CLM-10328,2024-10-02,2024-11-16,2024-12-26,78385.83
CLM-10237,2024-04-20,2024-05-30,2025-01-10,78198.61
CLM-10693,2024-03-20,2024-03-24,2024-08-13,25326.53
CLM-10636,2023-03-31,2023-05-03,2023-10-06,68713.56
CLM-10347,2022-05-24,2022-07-31,2022-10-02,41538.09
CLM-10685,2020-03-16,2020-03-17,2021-05-12,11029.61
CLM-10711,2023-08-15,2023-08-27,2024-02-03,80339.44
CLM-10530,2022-10-23,2022-12-13,2023-02-03,62147.53
CLM-10413,2022-01-25,2022-02-14,2022-05-18,81562.2
CLM-10069,2022-06-08,2022-06-14,2022-09-22,37308.31
CLM-10325,2023-06-18,2023-08-06,2023-10-19,12087.45
CLM-10152,2021-03-28,2021-04-15,2022-01-12,-13296.38
CLM-10413,2022-01-25,2022-02-14,2022-09-30,71577.92
CLM-10041,2023-01-01,2023-02-09,2023-07-02,64011.07
CLM-10151,2022-07-14,2022-09-25,2023-01-31,65292.86
CLM-10502,2021-03-22,2021-05-05,2021-12-16,81080.5
CLM-10783,2023-05-31,2023-07-12,2025-05-24,43255.77
CLM-10758,2021-01-31,2021-03-23,2022-10-16,11698.55
CLM-10604,2021-06-20,2021-09-11,2022-01-27,59559.45
CLM-10354,2022-12-21,2022-12-23,2024-04-17,77254.39
CLM-10248,2023-10-17,2023-12-17,2025-04-04,12147.43
CLM-10252,2022-08-02,2022-10-01,2023-09-07,62811.8
CLM-10136,2024-05-01,2024-06-03,2025-02-24,63118.33
CLM-10644,2023-02-01,2023-02-17,2024-05-18,61390.0
CLM-10273,2023-04-03,2023-06-24,2023-07-28,3542.48
CLM-10434,2022-06-13,2022-08-11,2022-09-05,-10798.3
CLM-10023,2021-07-05,2021-07-16,2021-08-11,67754.73
CLM-10411,2020-05-25,,2021-02-09,16951.52
CLM-10480,2020-05-23,2020-06-17,2021-01-05,-14643.33
CLM-10106,2021-12-04,2022-01-01,2022-06-29,23154.03
CLM-10499,2023-01-08,2023-03-19,2024-07-22,70024.59
CLM-10194,2024-08-10,2024-08-16,2025-01-29,36646.96
CLM-10320,2021-06-30,2021-07-13,2021-12-21,41303.27
CLM-10436,2023-05-21,2023-07-01,2024-05-20,62557.78
CLM-10317,2022-04-02,2022-05-07,2022-10-02,9763.55
CLM-10409,2021-12-02,2022-02-15,2022-07-26,81166.96
CLM-10456,2021-11-29,2021-12-08,2022-03-22,32261.47
CLM-10083,2024-08-13,2024-09-09,2025-03-10,42280.3
CLM-10352,2021-03-05,2021-04-15,2021-06-25,28791.99
CLM-10744,2020-01-22,2020-03-10,2020-04-21,2291.02
CLM-10221,2022-02-14,2022-04-25,2022-07-02,25643.51
CLM-10224,2020-11-06,2021-01-11,2022-01-15,63442.55
CLM-10338,2021-07-24,2021-08-15,2022-06-10,32610.99
CLM-10270,2023-06-06,2023-08-19,2023-10-27,63304.95
CLM-10125,2021-02-23,2021-02-24,2021-11-10,48869.16
CLM-10200,2020-01-10,2020-02-20,2020-05-15,-23581.24
CLM-10578,2023-04-08,,2023-08-05,74194.43
CLM-10674,2024-02-22,2024-04-09,2024-08-22,29075.12
CLM-10758,2021-01-31,2021-03-23,2022-04-14,2787.3
CLM-10030,2023-06-22,2023-07-19,2023-09-21,66076.15
CLM-10004,2023-06-08,2023-07-08,2024-03-17,12300.33
CLM-10712,2021-04-08,2021-04-18,2021-03-28,50647.06
CLM-10143,2023-08-12,2023-09-15,2025-03-13,-7822.91
CLM-10574,2023-10-04,2023-10-24,2024-03-31,74026.54
CLM-10415,2021-08-30,2021-11-09,2023-05-23,40000.94
CLM-10572,2022-01-05,2022-02-10,2022-11-01,-15661.26
CLM-10421,2021-02-14,2021-03-17,2022-03-18,-19707.95
CLM-10133,2023-07-29,2023-10-10,2024-03-04,33721.62
CLM-10375,2021-01-24,2021-04-03,2021-08-27,74771.95
CLM-10233,2020-07-08,2020-08-20,2021-02-25,42765.9
CLM-10786,2023-02-07,2023-04-13,2024-10-01,49350.81
CLM-10199,2021-11-26,,2022-08-08,11593.64
CLM-10577,2020-09-26,2020-12-22,2021-06-17,54946.79
CLM-10647,2023-10-11,2023-12-29,2024-02-11,46725.05
CLM-10703,2020-11-03,2021-01-20,2021-10-04,24355.71
CLM-10234,2023-07-23,2023-09-20,2024-09-30,45040.38
CLM-10702,2022-07-14,2022-07-29,2023-05-18,22952.48
CLM-10199,2021-11-26,,2022-06-08,71367.98
CLM-10445,2021-07-18,2021-08-18,2022-01-22,70363.53
CLM-10478,2020-09-23,2020-12-14,2021-06-19,10789.03
CLM-10193,2023-03-03,2023-05-29,2024-06-04,74893.32
CLM-10168,2023-07-28,2023-08-10,2023-10-28,61988.09
CLM-10421,2021-02-14,2021-03-17,2022-06-20,-14425.76
CLM-10227,2023-10-02,,2024-02-19,4246.52
CLM-10114,2022-11-15,2023-01-03,2023-03-10,3496.83
CLM-10487,2021-03-17,2021-05-22,2022-06-29,69414.29
CLM-10018,2024-08-07,2024-10-08,2025-03-28,-16088.66
CLM-10086,2023-08-01,2023-10-18,2024-09-12,-23447.88
CLM-10017,2022-07-26,,2022-12-16,66682.85
CLM-10171,2021-09-13,2021-11-10,2022-11-29,64205.36
CLM-10711,2023-08-15,2023-08-27,2024-09-22,57277.42
CLM-10528,2024-12-01,2025-01-02,2025-01-19,62617.08
CLM-10584,2020-04-23,2020-05-02,2020-08-28,73031.78
CLM-10096,2022-01-02,2022-01-10,2022-08-25,-14422.59
CLM-10463,2022-07-08,2022-08-18,2023-07-07,77321.71
CLM-10436,2023-05-21,2023-07-01,2023-11-19,75455.1
CLM-10202,2022-04-25,2022-06-03,2022-07-13,53516.28
CLM-10163,2022-04-05,2022-04-29,2023-02-07,73466.08
CLM-10577,2020-09-26,2020-12-22,2021-09-11,50563.07
CLM-10489,2021-06-29,2021-07-21,2022-07-13,79661.52
CLM-10132,2020-11-29,2021-02-21,2021-05-03,61386.79
CLM-10366,2023-03-21,2023-03-23,2023-09-29,30254.59
CLM-10253,2021-09-30,2021-11-04,2022-08-24,48097.21
CLM-10757,2021-02-20,2021-04-25,2021-10-12,-2023.74
CLM-10741,2020-03-12,2020-05-26,2021-06-06,8415.02
CLM-10638,2023-06-21,2023-09-09,2023-12-08,16191.14
CLM-10553,2022-12-07,2023-02-16,2024-03-29,79448.03
CLM-10212,2024-09-13,2024-09-22,2025-01-12,84340.68
CLM-10097,2021-04-13,2021-06-26,2023-04-04,42211.83
CLM-10510,2022-12-19,2023-01-26,2023-10-31,83040.94
CLM-10037,2024-04-03,2024-05-26,2025-02-22,68267.64
CLM-10254,2023-06-06,2023-06-14,2023-07-26,60303.13
CLM-10288,2022-02-17,2022-04-07,2022-11-17,63755.63
CLM-10336,2023-07-13,2023-07-30,2024-01-02,6052.23
CLM-10788,2024-04-03,2024-06-24,2025-04-16,13338.61
CLM-10434,2022-06-13,2022-08-11,2023-07-07,58986.14
CLM-10562,2021-06-21,,2021-07-31,16214.82
CLM-10503,2022-02-01,2022-04-13,2022-07-26,35286.94
CLM-10729,2023-05-19,2023-07-10,2023-10-28,69019.27
CLM-10661,2023-08-14,2023-08-18,2024-01-03,11412.63
CLM-10002,2024-02-07,2024-02-13,2024-08-30,-9053.52
CLM-10362,2022-08-27,2022-11-24,2023-01-21,49461.31
CLM-10748,2020-07-19,2020-09-02,2020-12-12,76322.04
CLM-10509,2021-08-11,2021-08-28,2021-11-17,51355.19
CLM-10786,2023-02-07,2023-04-13,2024-02-26,-1831.91
CLM-10587,2020-08-02,,2020-11-14,67096.82
CLM-10746,2024-05-04,2024-05-28,2025-02-02,-18919.15
CLM-10470,2022-01-27,2022-03-29,2022-10-23,11213.7
CLM-10589,2020-01-24,2020-04-20,2021-08-11,67239.15
CLM-10186,2020-04-14,2020-04-30,2020-11-06,25307.1
CLM-10437,2021-01-18,2021-01-30,2021-06-12,26488.49
CLM-10021,2021-03-18,2021-05-16,2022-05-01,-16992.77
CLM-10564,2022-09-14,2022-09-24,2022-12-29,14586.07
CLM-10652,2023-10-21,2023-12-11,2024-03-26,-17498.88
CLM-10523,2021-06-09,2021-08-23,2022-01-28,75313.72
CLM-10166,2022-06-27,2022-06-28,2022-08-02,-2636.75
CLM-10163,2022-04-05,2022-04-29,2022-08-03,-15378.65
CLM-10370,2023-07-19,2023-08-05,2024-05-28,16720.91
CLM-10227,2023-10-02,,2025-02-17,19150.02
CLM-10547,2020-11-28,2021-02-13,2022-07-15,33900.44
CLM-10400,2023-01-01,2023-01-11,2023-07-10,-21396.09
CLM-10757,2021-02-20,2021-04-25,2022-03-01,42932.0
CLM-10108,2020-10-11,2020-12-27,2022-01-19,77558.59
CLM-10197,2024-05-10,2024-07-05,2024-10-25,62315.16
CLM-10747,2023-06-05,,2023-11-04,48860.25
CLM-10058,2021-04-10,2021-04-27,2021-08-18,40377.48
CLM-10632,2020-11-27,2021-02-19,2021-09-02,10516.25
CLM-10734,2020-05-02,2020-06-10,2020-11-03,44606.52
CLM-10211,2020-09-28,2020-12-13,2021-03-09,63962.99
CLM-10055,2022-02-19,2022-05-07,2022-07-24,81210.99
CLM-10205,2020-05-07,2020-05-31,2021-03-19,83135.2
CLM-10788,2024-04-03,2024-06-24,2024-11-11,71109.61
CLM-10741,2020-03-12,2020-05-26,2021-02-03,55280.3
CLM-10043,2022-09-09,2022-10-08,2023-09-05,-3040.98
CLM-10285,2020-12-02,2021-02-21,2021-10-16,36080.19
CLM-10310,2020-01-04,2020-02-18,2020-06-12,24689.89
CLM-10760,2024-07-12,2024-09-21,2025-02-19,26454.64
CLM-10749,2021-05-21,2021-06-26,2022-05-20,14848.07
CLM-10383,2023-06-20,2023-07-10,2024-11-19,52476.28
CLM-10274,2020-02-29,2020-03-14,2020-08-20,9646.16
CLM-10370,2023-07-19,2023-08-05,2024-03-26,83834.45
CLM-10713,2021-07-28,2021-07-30,2022-08-02,23785.37
CLM-10482,2024-02-01,2024-02-23,2025-01-08,66309.72
CLM-10580,2021-09-03,2021-10-13,2022-07-23,-9159.33
CLM-10731,2020-04-05,2020-05-31,2021-05-30,6113.06
CLM-10137,2023-01-10,2023-02-11,2024-02-29,83003.45
CLM-10191,2024-10-23,,2024-11-12,7174.9
CLM-10153,2021-02-21,2021-03-24,2021-09-11,40284.71
CLM-10206,2022-09-16,2022-12-11,2024-04-07,84692.16
CLM-10238,2022-03-09,2022-03-10,2022-09-24,2515.49
CLM-10040,2022-01-05,,2022-03-29,69406.4
CLM-10314,2021-08-08,2021-10-17,2022-01-19,22033.86
CLM-10558,2021-01-02,2021-03-02,2022-04-09,18988.71
CLM-10046,2020-05-07,2020-07-18,2021-02-23,72729.84
CLM-10125,2021-02-23,2021-02-24,2022-02-28,38897.72
CLM-10738,2020-12-21,2021-02-27,2021-09-01,66377.66
CLM-10662,2024-05-07,2024-07-07,2024-10-16,38966.15
CLM-10659,2022-08-28,2022-09-06,2023-01-31,2260.29
CLM-10338,2021-07-24,2021-08-15,2021-10-15,42922.08
CLM-10521,2022-01-05,2022-02-05,2022-12-09,33405.24
CLM-10743,2023-05-19,2023-08-15,2024-12-15,34010.34
CLM-10484,2023-01-23,2023-03-30,2024-07-29,29746.35
CLM-10180,2022-02-23,2022-04-26,2022-08-14,-7873.87
CLM-10051,2021-10-02,2021-12-29,2022-02-28,-19670.4
CLM-10028,2020-03-02,2020-05-30,2021-05-15,76736.62
CLM-10547,2020-11-28,2021-02-13,2022-01-06,17526.33
CLM-10560,2022-09-25,2022-10-20,2024-08-08,6922.13
CLM-10756,2022-07-31,2022-08-17,2023-11-08,-19040.26
CLM-10448,2023-10-06,2023-12-15,2024-03-10,-3812.25
CLM-10123,2022-08-08,2022-10-14,2023-07-17,-22483.15
CLM-10535,2024-04-14,2024-06-12,2025-03-25,40687.43
CLM-10705,2021-11-18,2022-01-29,2023-06-15,54968.26
CLM-10492,2024-02-27,2024-04-15,2024-05-21,70832.07
CLM-10187,2020-07-28,2020-08-05,2021-02-15,28606.58
CLM-10332,2023-04-25,2023-06-10,2024-01-21,82082.49
CLM-10399,2024-03-13,2024-05-31,2024-06-17,66061.58
CLM-10473,2021-02-10,2021-04-08,2022-01-28,54598.68
CLM-10157,2020-12-19,2021-01-27,2021-06-05,-8435.69
CLM-10510,2022-12-19,2023-01-26,2024-04-27,64152.18
CLM-10675,2023-03-27,2023-04-08,2024-02-22,50860.25
CLM-10296,2021-12-26,2022-02-17,2022-07-07,83193.33
CLM-10447,2024-09-25,2024-11-10,2025-02-24,-1657.96
CLM-10107,2024-10-02,2024-11-14,2025-01-07,-23810.96
CLM-10275,2023-10-12,2023-12-31,2025-01-31,79418.87
CLM-10140,2021-08-19,2021-09-23,2021-07-19,56745.99
CLM-10111,2020-11-05,2020-11-09,2021-02-13,18465.35
CLM-10406,2020-04-05,,2020-11-13,14282.49
CLM-10418,2021-10-26,2021-11-30,2022-05-14,18032.0
CLM-10590,2021-10-14,2021-12-28,2022-01-25,76054.27
CLM-10103,2022-07-01,2022-07-12,2022-10-26,30516.64
CLM-10536,2024-09-19,2024-11-22,2025-02-10,46021.82
CLM-10345,2024-10-28,2024-12-15,2025-02-07,31813.3
CLM-10761,2022-05-24,2022-07-03,2023-08-27,19019.9
CLM-10255,2020-09-29,2020-10-29,2021-12-12,81701.67
CLM-10708,2021-11-16,2021-12-23,2023-04-09,-12840.61
CLM-10545,2022-06-02,2022-07-17,2022-11-07,70370.19
CLM-10764,2022-11-07,2023-02-03,2024-09-11,81365.02
CLM-10326,2021-03-08,2021-05-20,2021-07-18,2197.74
CLM-10193,2023-03-03,2023-05-29,2024-03-12,42681.62
CLM-10626,2023-01-05,,2023-08-11,-2606.51
CLM-10723,2024-02-26,2024-03-30,2024-09-21,7545.9
CLM-10597,2021-08-12,2021-09-02,2022-01-13,66143.29
CLM-10231,2021-01-02,2021-02-19,2021-06-24,43178.46
CLM-10314,2021-08-08,2021-10-17,2022-07-19,30718.27
CLM-10686,2023-11-14,2024-02-01,2025-04-25,82024.63
CLM-10241,2021-01-14,2021-04-13,2022-04-27,-17095.22
CLM-10726,2021-09-17,2021-11-10,2022-10-03,10649.69
CLM-10515,2023-11-02,2023-12-02,2024-08-07,34506.3
CLM-10323,2021-10-28,2021-12-09,2022-03-12,62273.04
CLM-10125,2021-02-23,2021-02-24,2022-02-05,74027.43
CLM-10036,2023-12-30,,2024-09-16,32089.28
CLM-10507,2024-04-29,2024-05-01,2024-09-21,74522.32
CLM-10208,2021-07-08,2021-08-11,2021-09-11,26403.5
CLM-10762,2022-06-10,2022-06-15,2022-12-06,4694.54
CLM-10418,2021-10-26,2021-11-30,2022-09-23,32861.83
CLM-10068,2024-11-18,2024-12-09,2025-01-12,44757.77
CLM-10548,2022-04-03,,2022-05-01,47086.33
CLM-10322,2023-07-04,2023-09-21,2024-09-03,45484.23
CLM-10224,2020-11-06,2021-01-11,2023-01-14,62790.14
CLM-10388,2022-03-12,2022-03-21,2022-08-07,32422.16
CLM-10095,2020-09-01,2020-11-10,2021-03-09,74390.95
CLM-10385,2023-09-23,2023-11-26,2024-10-27,83630.11
CLM-10451,2022-11-29,2023-01-10,2023-12-10,19616.88
CLM-10580,2021-09-03,2021-10-13,2022-04-10,79238.72
CLM-10527,2020-04-29,2020-06-28,2020-10-20,15418.22
CLM-10764,2022-11-07,2023-02-03,2023-09-21,41226.56
CLM-10234,2023-07-23,2023-09-20,2024-05-15,64580.85
CLM-10289,2021-10-20,2021-12-22,2022-06-23,17808.0
CLM-10106,2021-12-04,2022-01-01,2022-09-28,20756.32
CLM-10090,2020-03-13,2020-06-01,2021-05-07,60647.03
CLM-10386,2021-05-24,2021-05-31,2021-10-30,14159.1
CLM-10208,2021-07-08,2021-08-11,2021-11-24,-19688.34
CLM-10514,2020-07-07,2020-08-22,2021-01-04,-13392.52
CLM-10109,2020-09-29,2020-10-24,2021-02-12,-2572.17
CLM-10059,2021-03-28,,2021-09-24,42622.07
CLM-10035,2023-06-12,2023-08-11,2024-07-02,50990.26
CLM-10134,2021-03-30,2021-05-13,2021-10-13,58742.35
CLM-10127,2023-07-03,2023-07-11,2023-10-17,65438.2
CLM-10740,2022-08-24,2022-10-06,2022-11-15,-15635.45
CLM-10317,2022-04-02,2022-05-07,2022-12-08,-16600.93
CLM-10619,2022-07-06,2022-07-10,2023-09-05,44043.1
CLM-10492,2024-02-27,2024-04-15,2024-11-26,60409.04
CLM-10562,2021-06-21,,2021-11-19,15436.23
CLM-10331,2020-01-09,2020-01-20,2020-07-26,-1405.13
CLM-10499,2023-01-08,2023-03-19,2024-06-28,49474.74
CLM-10299,2024-06-04,2024-07-08,2025-04-21,82849.5
CLM-10712,2021-04-08,2021-04-18,2021-11-28,63535.69
CLM-10407,2021-01-21,2021-04-02,2021-09-21,37323.95
